Data table for: E:\YR 4 LVAY DATA\GT3X+\1119B_V2R3XPH_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Steps,Inclinometer,Vector Magnitude
7/28/2011,17:06:00,0,0,0,0,0,0
7/28/2011,17:06:01,0,0,0,0,0,0
7/28/2011,17:06:02,0,0,0,0,0,0
7/28/2011,17:06:03,0,0,0,0,0,0
7/28/2011,17:06:04,0,0,0,0,0,0
7/28/2011,17:06:05,0,0,0,0,0,0
7/28/2011,17:06:06,0,0,0,0,0,0
7/28/2011,17:06:07,0,0,0,0,0,0
7/28/2011,17:06:08,0,0,0,0,0,0
7/28/2011,17:06:09,0,0,0,0,0,0
7/28/2011,17:06:10,0,0,0,0,0,0
7/28/2011,17:06:11,0,0,0,0,0,0
7/28/2011,17:06:12,0,0,0,0,0,0
7/28/2011,17:06:13,0,0,0,0,0,0
7/28/2011,17:06:14,0,0,0,0,0,0
7/28/2011,17:06:15,0,0,0,0,0,0
7/28/2011,17:06:16,0,0,0,0,0,0
7/28/2011,17:06:17,0,0,0,0,0,0
7/28/2011,17:06:18,0,0,0,0,0,0
7/28/2011,17:06:19,0,0,0,0,0,0
7/28/2011,17:06:20,0,0,0,0,0,0
7/28/2011,17:06:21,0,0,0,0,0,0
7/28/2011,17:06:22,0,0,0,0,0,0
7/28/2011,17:06:23,0,0,0,0,0,0
7/28/2011,17:06:24,0,0,0,0,0,0
7/28/2011,17:06:25,0,0,0,0,0,0
7/28/2011,17:06:26,0,0,0,0,0,0
7/28/2011,17:06:27,0,0,0,0,0,0
7/28/2011,17:06:28,0,0,0,0,0,0
7/28/2011,17:06:29,0,0,0,0,0,0
7/28/2011,17:06:30,0,0,0,0,0,0
7/28/2011,17:06:31,0,0,0,0,0,0
7/28/2011,17:06:32,0,0,0,0,0,0
7/28/2011,17:06:33,0,0,0,0,0,0
7/28/2011,17:06:34,131,82,276,1,1,316.32
7/28/2011,17:06:35,65,72,109,0,1,145.91
7/28/2011,17:06:36,62,107,235,0,1,265.55
7/28/2011,17:06:37,47,173,215,0,1,279.93
7/28/2011,17:06:38,0,31,111,0,0,115.25
7/28/2011,17:06:39,0,17,57,0,0,59.48
7/28/2011,17:06:40,0,0,0,0,0,0
7/28/2011,17:06:41,0,0,0,0,0,0
7/28/2011,17:06:42,0,0,0,0,0,0
7/28/2011,17:06:43,0,0,0,0,0,0
7/28/2011,17:06:44,0,0,0,0,0,0
7/28/2011,17:06:45,0,0,0,0,0,0
7/28/2011,17:06:46,0,0,0,0,0,0
7/28/2011,17:06:47,92,0,49,0,1,104.24
7/28/2011,17:06:48,165,60,314,1,1,359.75
7/28/2011,17:06:49,221,132,186,0,1,317.59
7/28/2011,17:06:50,96,44,8,0,1,105.91
7/28/2011,17:06:51,15,122,140,1,1,186.3
7/28/2011,17:06:52,125,24,116,1,1,172.21
7/28/2011,17:06:53,309,62,173,0,1,359.52
7/28/2011,17:06:54,115,35,85,1,1,147.22
7/28/2011,17:06:55,195,134,37,0,1,239.48
7/28/2011,17:06:56,87,75,260,0,1,284.24
7/28/2011,17:06:57,131,180,242,1,1,328.82
7/28/2011,17:06:58,81,204,103,0,1,242.46
7/28/2011,17:06:59,28,75,90,1,1,120.45
7/28/2011,17:07:00,12,33,77,1,1,84.63
7/28/2011,17:07:01,0,7,11,0,1,13.04
7/28/2011,17:07:02,28,86,9,0,1,90.89
7/28/2011,17:07:03,0,12,0,0,3,12
7/28/2011,17:07:04,0,0,0,0,3,0
7/28/2011,17:07:05,28,68,9,1,1,74.09
7/28/2011,17:07:06,0,0,0,0,1,0
7/28/2011,17:07:07,120,304,133,1,1,352.85
7/28/2011,17:07:08,154,360,164,1,1,424.51
7/28/2011,17:07:09,169,98,51,1,1,201.91
7/28/2011,17:07:10,187,28,62,0,1,198.99
7/28/2011,17:07:11,85,120,74,0,1,164.62
7/28/2011,17:07:12,119,89,117,0,1,189.13
