ID,LabVisit,file,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6
1000,1,1000_V1R3XP_4,4:18:00 PM,4:23:00 PM,4:25:00 PM,4:30:00 PM,4:31:00 PM,4:36:00 PM,4:37:30 PM,4:42:30 PM,4:46:00 PM,4:51:00 PM,4:55:00 PM,5:00:00 PM
1000,2,1000_V2L3XP_4,4:11:00 PM,4:16:00 PM,4:17:00 PM,4:22:00 PM,4:25:30 PM,4:30:30 PM,4:32:00 PM,4:37:00 PM,4:38:30 PM,4:43:30 PM,4:47:45 PM,4:52:45 PM
1005,1,1005_V1R3XP_4,4:10:00 PM,4:15:00 PM,4:19:30 PM,4:24:30 PM,4:25:30 PM,4:30:30 PM,4:31:00 PM,4:36:00 PM,4:40:00 PM,4:45:00 PM,4:49:00 PM,4:54:00 PM
1005,2,1005_V2R3XP_4,5:06:00 PM,5:12:00 PM,5:13:39 PM,5:18:39 PM,5:22:40 PM,5:27:40 PM,5:29:10 PM,5:34:10 PM,5:34:50 PM,5:39:50 PM,5:42:30 PM,5:47:30 PM
1006,1,1006_V1L3XP_4,4:20:25 PM,4:25:25 PM,4:27:25 PM,4:32:25 PM,4:33:40 PM,4:38:40 PM,4:40:05 PM,4:45:05 PM,4:47:35 PM,4:52:35 PM,4:56:30 PM,5:01:30 PM
1008,1,1008_V1L3XP_4,5:52:56 PM,5:57:56 PM,5:59:26 PM,6:04:26 PM,6:05:26 PM,6:10:26 PM,6:11:06 PM,6:16:06 PM,6:17:56 PM,6:22:56 PM,6:25:46 PM,6:30:46 PM
1008,2,1008_V2L3XP_4,5:19:30 PM,5:24:30 PM,5:25:30 PM,5:30:30 PM,5:34:05 PM,5:39:05 PM,5:39:35 PM,5:44:35 PM,5:46:35 PM,5:51:35 PM,4:56:30 PM,5:01:30 PM
1009,1,1009_V1L3XP_4,6:02:59 PM,6:07:59 PM,6:09:19 PM,6:14:19 PM,6:15:19 PM,6:20:19 PM,6:20:59 PM,6:25:59 PM,6:27:49 PM,6:32:49 PM,6:35:19 PM,6:40:19 PM
1009,2,1009_V2L3XP_4,7:58:00 PM,8:03:00 PM,8:05:05 PM,8:10:05 PM,8:12:40 PM,8:17:40 PM,8:18:40 PM,8:23:40 PM,8:24:15 PM,8:29:15 PM,8:33:00 PM,8:38:00 PM
1010,1,1010_V1R3XP_4,4:09:17 PM,4:14:17 PM,4:15:27 PM,4:20:27 PM,4:21:22 PM,4:26:22 PM,4:26:37 PM,4:31:37 PM,4:34:17 PM,4:39:17 PM,4:41:02 PM,4:46:02 PM
1010,2,1010_V2R3XP_4,5:09:02 PM,5:14:02 PM,5:14:56 PM,5:19:56 PM,5:24:46 PM,5:29:46 PM,5:30:56 PM,5:35:56 PM,5:36:56 PM,5:41:56 PM,5:46:13 PM,5:51:13 PM
1011,1,1011_V1R3XP_4,3:16:55 PM,3:21:55 PM,3:24:01 PM,3:29:01 PM,3:30:26 PM,3:35:26 PM,3:36:16 PM,3:41:16 PM,3:45:26 PM,3:50:26 PM,3:53:26 PM,3:58:26 PM
1021,2,1021_V2R3XP_4,3:29:15 PM,3:34:15 PM,3:35:15 PM,3:40:15 PM,3:44:00 PM,3:49:00 PM,3:49:50 PM,3:54:50 PM,3:58:15 PM,4:03:15 PM,4:09:15 PM,4:14:15 PM
1024,1,1024_V1L3XP_4,5:20:32 PM,5:25:32 PM,5:27:02 PM,5:32:02 PM,5:34:52 PM,5:39:52 PM,5:41:12 PM,5:46:12 PM,5:50:22 PM,5:55:22 PM,5:58:42 PM,6:03:42 PM
1024,2,1024_V2L3XP_4,4:33:45 PM,4:38:45 PM,4:39:40 PM,4:44:40 PM,4:48:31 PM,4:53:31 PM,4:54:15 PM,4:58:45 PM,4:59:55 PM,5:04:25 PM,5:09:48 PM,5:14:48 PM
1025,1,1025_V1R3XP_4,4:20:50 PM,4:25:50 PM,4:27:20 PM,4:32:20 PM,4:33:20 PM,4:38:20 PM,4:39:00 PM,4:44:00 PM,4:48:40 PM,4:53:40 PM,4:55:55 PM,5:00:55 PM
1025,2,1025_V2R3XP_4,4:12:18 PM,4:17:18 PM,4:18:17 PM,4:23:17 PM,4:28:28 PM,4:33:28 PM,4:34:58 PM,4:39:58 PM,4:43:27 PM,4:48:27 PM,4:55:13 PM,5:00:13 PM
1028,1,1028_V1R3XP_4,3:04:00 PM,3:09:00 PM,3:12:15 PM,3:17:15 PM,3:18:30 PM,3:23:30 PM,3:24:45 PM,3:29:45 PM,3:32:40 PM,3:37:40 PM,3:40:20 PM,3:45:20 PM
1028,2,1028_V2R3XP_4,2:58:00 PM,3:03:00 PM,3:04:25 PM,3:09:25 PM,3:13:00 PM,3:18:00 PM,3:19:00 PM,3:24:00 PM,3:25:15 PM,3:30:15 PM,3:33:20 PM,3:38:20 PM
1029,1,1029_V1L3XP_4,4:06:00 PM,4:11:00 PM,4:14:00 PM,4:19:00 PM,4:20:05 PM,4:25:05 PM,4:27:25 PM,4:32:25 PM,4:36:25 PM,4:41:25 PM,4:43:55 PM,4:48:55 PM
1029,2,1029_V2L3XP_4,3:48:40 PM,3:53:40 PM,3:55:00 PM,4:00:00 PM,4:03:25 PM,4:08:25 PM,4:09:35 PM,4:14:35 PM,4:15:30 PM,4:20:30 PM,4:25:10 PM,4:30:10 PM
1032,1,1032_V1R3XP_4,6:25:13 PM,6:30:13 PM,6:32:53 PM,6:37:53 PM,6:39:43 PM,6:44:43 PM,6:45:53 PM,6:50:53 PM,6:54:05 PM,6:59:05 PM,7:01:54 PM,7:06:54 PM
1033,1,1033_V1R3XP_4,4:07:50 PM,4:12:50 PM,4:17:30 PM,4:22:30 PM,4:24:00 PM,4:29:00 PM,4:31:00 PM,4:36:00 PM,4:39:50 PM,4:44:50 PM,4:48:20 PM,4:53:20 PM
1033,2,1033_V2R3XP_4,4:17:48 PM,4:22:48 PM,4:23:48 PM,4:28:48 PM,4:36:37 PM,4:41:37 PM,4:44:45 PM,4:49:45 PM,4:51:56 PM,4:56:56 PM,5:00:23 PM,5:05:23 PM
1034,1,1034_V1L3XP_4,5:25:00 PM,5:30:00 PM,5:32:15 PM,5:37:15 PM,5:38:00 PM,5:43:00 PM,5:44:30 PM,5:49:30 PM,5:51:40 PM,5:56:40 PM,5:59:25 PM,6:04:25 PM
1034,2,1034_V2L3XP_4,5:26:25 PM,5:31:25 PM,5:32:40 PM,5:38:40 PM,5:40:50 PM,5:45:50 PM,5:47:15 PM,5:52:15 PM,5:53:15 PM,5:58:15 PM,6:01:24 PM,6:06:24 PM
1035,1,1035_V1R3XP_4,5:42:00 PM,5:47:00 PM,5:48:30 PM,5:53:30 PM,5:54:20 PM,5:59:20 PM,6:00:10 PM,6:05:10 PM,6:07:10 PM,6:12:10 PM,6:14:32 PM,6:19:32 PM
1035,2,1035_V2R3XP_4,4:08:10 PM,4:13:10 PM,4:14:35 PM,4:19:35 PM,4:23:18 PM,4:28:18 PM,4:29:10 PM,4:34:10 PM,4:37:50 PM,4:42:50 PM,4:45:40 PM,4:50:40 PM
1040,1,1040_V1R3XP_4,4:05:05 PM,4:10:05 PM,4:11:25 PM,4:16:25 PM,4:17:35 PM,4:22:35 PM,4:23:30 PM,4:28:30 PM,4:31:29 PM,4:36:29 PM,4:38:54 PM,4:43:54 PM
1040,2,1040_V2R3XP_4,4:53:45 PM,4:58:45 PM,4:59:20 PM,5:04:20 PM,5:07:35 PM,5:12:35 PM,5:13:30 PM,5:18:30 PM,5:20:33 PM,5:25:33 PM,5:29:20 PM,5:34:20 PM
1041,1,1041_V1L3XP_4,5:38:25 PM,5:43:25 PM,5:44:29 PM,5:49:29 PM,5:50:30 PM,5:55:30 PM,5:55:55 PM,6:00:55 PM,6:02:38 PM,6:07:38 PM,6:09:45 PM,6:14:45 PM
1041,2,1041_V2L3XP_4,3:55:10 PM,4:00:10 PM,4:02:10 PM,4:07:10 PM,4:10:48 PM,4:15:48 PM,4:16:20 PM,4:21:20 PM,4:23:05 PM,4:28:05 PM,4:31:00 PM,4:36:00 PM
1042,1,1042_V1R3XP_4,4:13:00 PM,4:18:00 PM,4:20:00 PM,4:25:00 PM,4:27:25 PM,4:32:25 PM,4:33:00 PM,4:38:00 PM,4:41:30 PM,4:46:30 PM,4:49:10 PM,4:54:10 PM
1042,2,1042_V2L3XP_4,4:01:00 PM,4:06:00 PM,4:07:08 PM,4:12:08 PM,4:15:35 PM,4:20:35 PM,4:21:25 PM,4:26:25 PM,4:27:32 PM,4:32:32 PM,4:36:00 PM,4:41:00 PM
1049,1,1049_V1R3XP_4,4:16:36 PM,4:21:36 PM,4:24:01 PM,4:29:01 PM,4:30:51 PM,4:35:51 PM,4:36:46 PM,4:41:46 PM,4:44:51 PM,4:49:51 PM,4:52:30 PM,4:57:30 PM
1049,2,1049_V2R3XP_4,4:11:52 PM,4:16:52 PM,4:17:43 PM,4:22:43 PM,4:28:53 PM,4:33:53 PM,4:35:33 PM,4:40:33 PM,4:42:13 PM,4:47:13 PM,4:51:16 PM,4:56:16 PM
1052,1,1052_V1L3XP_4,5:42:30 PM,5:47:30 PM,5:49:00 PM,5:54:00 PM,5:54:30 PM,5:59:30 PM,6:00:30 PM,6:05:30 PM,6:07:40 PM,6:12:40 PM,6:15:25 PM,6:20:25 PM
1052,2,1052_V2L3XP_4,5:31:35 PM,5:36:35 PM,5:37:45 PM,5:42:45 PM,5:45:29 PM,5:50:29 PM,5:51:15 PM,5:56:15 PM,5:58:00 PM,6:03:00 PM,6:07:12 PM,6:12:12 PM
