FPR,MeanAccuracy,MeanTotalDetectionTime
0.0001,0.499053,76.325885
0.0002,0.531402,69.453371
0.0003,0.560709,63.140921
0.0004,0.614190,54.772430
0.0005,0.622515,51.972488
0.0006,0.633287,50.640827
0.0007,0.645051,48.611742
0.0008,0.669780,45.541492
0.0009,0.661427,45.622948
0.001,0.658850,44.154607
0.0011,0.663660,43.929541
0.0012,0.678301,40.734221
0.0013,0.663492,40.917153
0.0014,0.686556,39.137687
0.0015,0.670675,39.225307
0.0016,0.691851,37.456113
0.0017,0.679761,37.522947
0.0018,0.687733,36.451717
0.0019,0.698154,34.964376
0.002,0.694944,34.325515
0.0021,0.675139,35.487027
0.0022,0.670578,35.700191
0.0023,0.697724,32.961327
0.0024,0.700266,31.964714
0.0025,0.673309,33.610354
0.0026,0.689504,32.197184
0.0027,0.707803,30.422549
0.0028,0.679299,31.908540
0.0029,0.690575,30.276156
0.003,0.691446,29.223784
0.0031,0.716211,27.936132
0.0032,0.695174,28.026480
0.0033,0.698595,28.175853
0.0034,0.682556,28.637872
0.0035,0.680127,28.626949
0.0036,0.699764,26.925189
0.0037,0.672119,28.169684
0.0038,0.679097,26.179524
0.0039,0.690758,26.531028
0.004,0.679305,26.460302
0.0041,0.670621,27.384997
0.0042,0.662486,27.843465
0.0043,0.671479,27.398952
0.0044,0.676778,26.155081
0.0045,0.676691,26.257301
0.0046,0.652455,28.080285
0.0047,0.653001,27.058605
0.0048,0.657562,28.194844
0.0049,0.670653,25.259148
0.005,0.644948,27.214352
0.0051,0.650643,27.335712
0.0052,0.639377,27.565701
0.0053,0.633880,28.067178
0.0054,0.627366,28.565140
0.0055,0.652737,26.309084
0.0056,0.629477,27.832416
0.0057,0.636688,27.410185
0.0058,0.647609,25.262805
0.0059,0.618321,29.061008
0.006,0.625983,28.159776
0.0061,0.616652,28.631787
0.0062,0.624965,28.070980
0.0063,0.644026,25.651869
0.0064,0.620441,27.025565
0.0065,0.645120,25.597845
0.0066,0.646657,24.707642
0.0067,0.611912,27.655324
0.0068,0.598356,27.885325
0.0069,0.601043,28.404169
0.007,0.617054,26.476651
0.0071,0.623241,24.587501
0.0072,0.605048,26.047425
0.0073,0.639363,24.706303
0.0074,0.591240,28.867502
0.0075,0.598874,28.266634
0.0076,0.595656,28.460376
0.0077,0.580166,29.063845
0.0078,0.587100,28.849665
0.0079,0.571778,30.260359
0.008,0.585378,27.518512
0.0081,0.554122,29.473767
0.0082,0.596423,26.124434
0.0083,0.564904,29.872139
0.0084,0.564258,29.633456
0.0085,0.583381,28.161568
0.0086,0.565398,28.975846
0.0087,0.563026,28.855574
0.0088,0.553512,30.780787
0.0089,0.553419,29.388852
0.009,0.555722,27.518164
0.0091,0.523013,33.879415
0.0092,0.566291,28.959933
0.0093,0.544712,32.852350
0.0094,0.574763,27.593357
0.0095,0.552426,31.322010
0.0096,0.549292,30.521976
0.0097,0.551828,29.883825
0.0098,0.543290,30.617687
0.0099,0.541526,29.740164
0.01,0.531035,31.340984
0.015,0.487953,31.321999
0.02,0.401321,39.109016
0.025,0.417199,34.746978
0.03,0.344018,42.464034
0.035,0.302883,47.829978
0.04,0.307786,44.709206
0.045,0.307264,42.855598
0.05,0.256234,46.612609
