FPR,MeanAccuracy,MeanTotalDetectionTime
0.0001,0.360038,96.949883
0.0005,0.409812,86.920958
0.001,0.437889,78.572939
0.0015,0.440275,76.914358
0.002,0.469514,72.908976
0.0025,0.487567,72.027922
0.003,0.504276,72.383073
0.0035,0.509811,69.029288
0.004,0.505739,68.117096
0.0045,0.518646,66.884417
0.005,0.529768,65.070865
0.0055,0.547631,62.847355
0.006,0.542903,62.174917
0.0065,0.567653,59.023956
0.007,0.569885,57.367822
0.0075,0.569651,58.597230
0.008,0.587758,56.549930
0.0085,0.590873,55.202040
0.009,0.592896,55.692845
0.0095,0.596030,54.555862
0.01,0.598638,53.755639
0.015,0.628319,48.316565
0.02,0.626604,45.560495
0.025,0.602740,45.144899
0.03,0.592623,45.592950
0.035,0.585731,43.952722
0.04,0.584930,42.199433
0.045,0.542193,43.179321
0.05,0.521133,44.556245
